,Season,Regular Season Games,Regular Season Attendance,Playoff Games,Playoff Attendance
0,2020-21,868,"1,004,925",84,"769,226"
1,2019-20,"1,082","18,835,275",130,0
2,2018-19,"1,271","22,186,851",87,"1,574,688"
3,2017-18,"1,271","22,174,362",84,"1,517,965"
4,2016-17,"1,230","21,545,024",87,"1,606,364"
5,2015-16,"1,230","21,615,397",91,"1,684,638"
6,2014-15,"1,230","21,533,419",89,"1,701,336"
7,2013-14,"1,230","21,758,902",93,"1,775,557"
8,2012-13,720,"12,792,723",86,"1,631,683"
9,2011-12,"1,230","21,468,141",86,"1,592,270"
10,2010-11,"1,230","21,113,926",89,"1,667,624"
11,2009-10,"1,230","20,996,455",89,"1,702,371"
12,2008-09,"1,230","21,475,223",87,"1,639,602"
13,2007-08,"1,230","21,236,255",85,"1,587,054"
14,2006-07,"1,230","20,861,787",81,"1,496,501"
15,2005-06,"1,230","20,854,169",83,"1,530,405"
16,2004-05,--,--,--,--
17,2003-04,"1,230","20,356,199",89,"1,708,691"
18,2002-03,"1,230","20,408,704",89,"1,636,120"
19,2001-02,"1,230","20,614,613",90,"1,691,174"
20,2000-01,"1,230","20,373,379",86,"1,584,011"
21,1999-00,"1,148","18,800,139",83,"1,524,629"
22,1998-99,"1,107","18,001,741",86,"1,509,411"
23,1997-98,"1,066","17,264,678",82,"1,507,416"
24,1996-97,"1,066","17,640,529",82,"1,494,878"
25,1995-96,"1,066","17,041,614",86,"1,540,140"
26,1994-95,624,"9,233,884",81,"1,329,130"
27,1993-94,"1,092","16,105,604",90,"1,440,095"
28,1992-93,"1,008","14,158,177",85,"1,346,034"
29,1991-92,880,"12,769,676",86,"1,327,920"
30,1990-91,840,"12,343,897",92,"1,442,203"
31,1989-90,840,"12,579,651",85,"1,355,593"
32,1988-89,840,"12,417,969",82,"1,327,214"
33,1987-88,840,"12,117,512",83,"1,336,901"
34,1986-87,840,"11,855,880",87,"1,383,967"
35,1985-86,840,"11,621,000",72,"1,152,503"
36,1984-85,840,"11,633,730",70,"1,107,500"
37,1983-84,840,"11,359,386",70,"1,107,400"
38,1982-83,840,"10,940,610",66,"1,088,222"
39,1981-82,840,"10,710,894",71,"1,058,948"
40,1980-81,840,"10,726,198",68,"966,390"
41,1979-80,840,"10,533,623",67,"976,699"
42,1978-79,680,"7,758,053",45,"694,521"
43,1977-78,720,"8,526,564",45,"686,634"
44,1976-77,720,"8,563,890",44,"646,279"
45,1975-76,720,"9,103,761",48,"726,279"
